Dim_isEndgame,Dim_Realms,Dim_GrandCompany,Dim_Species,V_PlayerCount
True,Adamantoise,Immortal Flames,Au Ra,22
True,Adamantoise,Immortal Flames,Elezen,5
True,Adamantoise,Immortal Flames,Hrothgar,3
True,Adamantoise,Immortal Flames,Hyur,19
True,Adamantoise,Immortal Flames,Lalafell,16
True,Adamantoise,Immortal Flames,Miqo'te,32
True,Adamantoise,Immortal Flames,Roegadyn,4
True,Adamantoise,Immortal Flames,Viera,17
True,Adamantoise,Maelstrom,Au Ra,23
True,Adamantoise,Maelstrom,Elezen,5
True,Adamantoise,Maelstrom,Hrothgar,3
True,Adamantoise,Maelstrom,Hyur,19
True,Adamantoise,Maelstrom,Lalafell,17
True,Adamantoise,Maelstrom,Miqo'te,33
True,Adamantoise,Maelstrom,Roegadyn,4
True,Adamantoise,Maelstrom,Viera,17
True,Adamantoise,Order of the Twin Adder,Au Ra,27
True,Adamantoise,Order of the Twin Adder,Elezen,6
True,Adamantoise,Order of the Twin Adder,Hrothgar,3
True,Adamantoise,Order of the Twin Adder,Hyur,23
True,Adamantoise,Order of the Twin Adder,Lalafell,20
True,Adamantoise,Order of the Twin Adder,Miqo'te,39
True,Adamantoise,Order of the Twin Adder,Roegadyn,5
True,Adamantoise,Order of the Twin Adder,Viera,21
True,Adamantoise,none,Au Ra,165
True,Adamantoise,none,Elezen,40
True,Adamantoise,none,Hrothgar,20
True,Adamantoise,none,Hyur,140
True,Adamantoise,none,Lalafell,122
True,Adamantoise,none,Miqo'te,239
True,Adamantoise,none,Roegadyn,29
True,Adamantoise,none,Viera,126
True,Balmung,Immortal Flames,Au Ra,21
True,Balmung,Immortal Flames,Elezen,5
True,Balmung,Immortal Flames,Hrothgar,3
True,Balmung,Immortal Flames,Hyur,18
True,Balmung,Immortal Flames,Lalafell,16
True,Balmung,Immortal Flames,Miqo'te,31
True,Balmung,Immortal Flames,Roegadyn,4
True,Balmung,Immortal Flames,Viera,16
True,Balmung,Maelstrom,Au Ra,22
True,Balmung,Maelstrom,Elezen,5
True,Balmung,Maelstrom,Hrothgar,3
True,Balmung,Maelstrom,Hyur,19
True,Balmung,Maelstrom,Lalafell,16
True,Balmung,Maelstrom,Miqo'te,32
True,Balmung,Maelstrom,Roegadyn,4
True,Balmung,Maelstrom,Viera,17
True,Balmung,Order of the Twin Adder,Au Ra,26
True,Balmung,Order of the Twin Adder,Elezen,6
True,Balmung,Order of the Twin Adder,Hrothgar,3
True,Balmung,Order of the Twin Adder,Hyur,22
True,Balmung,Order of the Twin Adder,Lalafell,19
True,Balmung,Order of the Twin Adder,Miqo'te,38
True,Balmung,Order of the Twin Adder,Roegadyn,5
True,Balmung,Order of the Twin Adder,Viera,20
True,Balmung,none,Au Ra,159
True,Balmung,none,Elezen,38
True,Balmung,none,Hrothgar,19
True,Balmung,none,Hyur,135
True,Balmung,none,Lalafell,118
True,Balmung,none,Miqo'te,230
True,Balmung,none,Roegadyn,28
True,Balmung,none,Viera,122
True,Behemoth,Immortal Flames,Au Ra,22
True,Behemoth,Immortal Flames,Elezen,5
True,Behemoth,Immortal Flames,Hrothgar,3
