Dim_isEndgame,Dim_Realms,Dim_GrandCompany,V_PlayerCount
True,Adamantoise,Immortal Flames,2440
True,Adamantoise,Maelstrom,2505
True,Adamantoise,Order of the Twin Adder,2955
True,Adamantoise,none,18147
True,Balmung,Immortal Flames,2356
True,Balmung,Maelstrom,2419
True,Balmung,Order of the Twin Adder,2854
True,Balmung,none,17525
True,Behemoth,Immortal Flames,2381
True,Behemoth,Maelstrom,2444
True,Behemoth,Order of the Twin Adder,2884
True,Behemoth,none,17705
True,Brynhildr,Immortal Flames,2386
True,Brynhildr,Maelstrom,2450
True,Brynhildr,Order of the Twin Adder,2890
True,Brynhildr,none,17746
True,Cactuar,Immortal Flames,2474
True,Cactuar,Maelstrom,2540
True,Cactuar,Order of the Twin Adder,2996
True,Cactuar,none,18397
True,Coeurl,Immortal Flames,2249
True,Coeurl,Maelstrom,2308
True,Coeurl,Order of the Twin Adder,2724
True,Coeurl,none,16723
True,Diabolos,Immortal Flames,2334
True,Diabolos,Maelstrom,2396
True,Diabolos,Order of the Twin Adder,2827
True,Diabolos,none,17357
True,Excalibur,Immortal Flames,2365
True,Excalibur,Maelstrom,2428
True,Excalibur,Order of the Twin Adder,2864
True,Excalibur,none,17588
True,Exodus,Immortal Flames,2348
True,Exodus,Maelstrom,2411
True,Exodus,Order of the Twin Adder,2844
True,Exodus,none,17462
True,Faerie,Immortal Flames,2467
True,Faerie,Maelstrom,2533
True,Faerie,Order of the Twin Adder,2988
True,Faerie,none,18349
True,Famfrit,Immortal Flames,2337
True,Famfrit,Maelstrom,2399
True,Famfrit,Order of the Twin Adder,2831
True,Famfrit,none,17381
True,Gilgamesh,Immortal Flames,2691
True,Gilgamesh,Maelstrom,2762
True,Gilgamesh,Order of the Twin Adder,3259
True,Gilgamesh,none,20012
True,Goblin,Immortal Flames,2291
True,Goblin,Maelstrom,2352
True,Goblin,Order of the Twin Adder,2775
True,Goblin,none,17040
True,Halicarnassus,Immortal Flames,604
True,Halicarnassus,Maelstrom,620
True,Halicarnassus,Order of the Twin Adder,732
True,Halicarnassus,none,4492
True,Hyperion,Immortal Flames,2258
True,Hyperion,Maelstrom,2318
True,Hyperion,Order of the Twin Adder,2735
True,Hyperion,none,16791
True,Jenova,Immortal Flames,2503
True,Jenova,Maelstrom,2570
True,Jenova,Order of the Twin Adder,3032
True,Jenova,none,18617
True,Lamia,Immortal Flames,2325
True,Lamia,Maelstrom,2387
True,Lamia,Order of the Twin Adder,2816
True,Lamia,none,17290
True,Leviathan,Immortal Flames,2390
True,Leviathan,Maelstrom,2454
True,Leviathan,Order of the Twin Adder,2895
True,Leviathan,none,17777
True,Maduin,Immortal Flames,451
True,Maduin,Maelstrom,463
True,Maduin,Order of the Twin Adder,546
True,Maduin,none,3352
True,Malboro,Immortal Flames,2267
True,Malboro,Maelstrom,2327
True,Malboro,Order of the Twin Adder,2745
True,Malboro,none,16857
True,Marilith,Immortal Flames,459
True,Marilith,Maelstrom,471
True,Marilith,Order of the Twin Adder,556
True,Marilith,none,3415
True,Mateus,Immortal Flames,2376
True,Mateus,Maelstrom,2439
True,Mateus,Order of the Twin Adder,2877
True,Mateus,none,17667
True,Midgardsormr,Immortal Flames,2486
True,Midgardsormr,Maelstrom,2553
True,Midgardsormr,Order of the Twin Adder,3012
True,Midgardsormr,none,18491
True,Sargatanas,Immortal Flames,2409
True,Sargatanas,Maelstrom,2473
True,Sargatanas,Order of the Twin Adder,2918
True,Sargatanas,none,17915
True,Seraph,Immortal Flames,1040
True,Seraph,Maelstrom,1068
True,Seraph,Order of the Twin Adder,1260
True,Seraph,none,7736
True,Siren,Immortal Flames,2359
True,Siren,Maelstrom,2422
True,Siren,Order of the Twin Adder,2858
True,Siren,none,17547
True,Ultros,Immortal Flames,2367
True,Ultros,Maelstrom,2430
True,Ultros,Order of the Twin Adder,2867
True,Ultros,none,17605
True,Zalera,Immortal Flames,2313
True,Zalera,Maelstrom,2375
True,Zalera,Order of the Twin Adder,2802
True,Zalera,none,17203
True,Alpha,Immortal Flames,844
True,Alpha,Maelstrom,867
True,Alpha,Order of the Twin Adder,1023
True,Alpha,none,6279
True,Cerberus,Immortal Flames,2125
True,Cerberus,Maelstrom,2181
True,Cerberus,Order of the Twin Adder,2574
True,Cerberus,none,15802
True,Lich,Immortal Flames,2085
True,Lich,Maelstrom,2141
True,Lich,Order of the Twin Adder,2526
True,Lich,none,15510
True,Louisoix,Immortal Flames,1894
True,Louisoix,Maelstrom,1944
True,Louisoix,Order of the Twin Adder,2294
True,Louisoix,none,14086
True,Moogle,Immortal Flames,2150
True,Moogle,Maelstrom,2207
True,Moogle,Order of the Twin Adder,2604
True,Moogle,none,15991
True,Odin,Immortal Flames,2136
True,Odin,Maelstrom,2193
True,Odin,Order of the Twin Adder,2588
True,Odin,none,15889
True,Omega,Immortal Flames,2034
True,Omega,Maelstrom,2088
True,Omega,Order of the Twin Adder,2463
True,Omega,none,15124
True,Phantom,Immortal Flames,880
True,Phantom,Maelstrom,903
True,Phantom,Order of the Twin Adder,1066
True,Phantom,none,6545
True,Phoenix,Immortal Flames,2157
True,Phoenix,Maelstrom,2215
True,Phoenix,Order of the Twin Adder,2613
True,Phoenix,none,16045
True,Ragnarok,Immortal Flames,2180
True,Ragnarok,Maelstrom,2238
True,Ragnarok,Order of the Twin Adder,2640
True,Ragnarok,none,16213
True,Raiden,Immortal Flames,884
True,Raiden,Maelstrom,908
True,Raiden,Order of the Twin Adder,1071
True,Raiden,none,6577
True,Sagittarius,Immortal Flames,570
True,Sagittarius,Maelstrom,585
True,Sagittarius,Order of the Twin Adder,691
True,Sagittarius,none,4241
True,Shiva,Immortal Flames,2123
True,Shiva,Maelstrom,2180
True,Shiva,Order of the Twin Adder,2572
True,Shiva,none,15792
True,Spriggan,Immortal Flames,1944
True,Spriggan,Maelstrom,1996
True,Spriggan,Order of the Twin Adder,2354
True,Spriggan,none,14456
True,Twintania,Immortal Flames,1913
True,Twintania,Maelstrom,1964
True,Twintania,Order of the Twin Adder,2317
True,Twintania,none,14228
True,Zodiark,Immortal Flames,2061
True,Zodiark,Maelstrom,2116
True,Zodiark,Order of the Twin Adder,2496
True,Zodiark,none,15328
True,Aegis,Immortal Flames,1252
True,Aegis,Maelstrom,1286
True,Aegis,Order of the Twin Adder,1517
True,Aegis,none,9313
True,Alexander,Immortal Flames,1346
True,Alexander,Maelstrom,1382
True,Alexander,Order of the Twin Adder,1630
True,Alexander,none,10011
True,Anima,Immortal Flames,1373
True,Anima,Maelstrom,1409
True,Anima,Order of the Twin Adder,1663
True,Anima,none,10209
True,Asura,Immortal Flames,1656
True,Asura,Maelstrom,1700
True,Asura,Order of the Twin Adder,2006
True,Asura,none,12317
True,Atomos,Immortal Flames,1251
True,Atomos,Maelstrom,1285
True,Atomos,Order of the Twin Adder,1516
True,Atomos,none,9307
True,Bahamut,Immortal Flames,1392
True,Bahamut,Maelstrom,1429
True,Bahamut,Order of the Twin Adder,1686
True,Bahamut,none,10353
True,Belias,Immortal Flames,1276
True,Belias,Maelstrom,1309
True,Belias,Order of the Twin Adder,1545
True,Belias,none,9486
True,Carbuncle,Immortal Flames,1322
True,Carbuncle,Maelstrom,1357
True,Carbuncle,Order of the Twin Adder,1601
True,Carbuncle,none,9832
True,Chocobo,Immortal Flames,1681
True,Chocobo,Maelstrom,1726
True,Chocobo,Order of the Twin Adder,2036
True,Chocobo,none,12502
True,Durandal,Immortal Flames,1290
True,Durandal,Maelstrom,1325
True,Durandal,Order of the Twin Adder,1563
True,Durandal,none,9595
True,Fenrir,Immortal Flames,1295
True,Fenrir,Maelstrom,1330
True,Fenrir,Order of the Twin Adder,1569
True,Fenrir,none,9634
True,Garuda,Immortal Flames,1243
True,Garuda,Maelstrom,1276
True,Garuda,Order of the Twin Adder,1505
True,Garuda,none,9242
True,Gungnir,Immortal Flames,1209
True,Gungnir,Maelstrom,1241
True,Gungnir,Order of the Twin Adder,1464
True,Gungnir,none,8988
True,Hades,Immortal Flames,1506
True,Hades,Maelstrom,1546
True,Hades,Order of the Twin Adder,1824
True,Hades,none,11202
True,Ifrit,Immortal Flames,1323
True,Ifrit,Maelstrom,1358
True,Ifrit,Order of the Twin Adder,1602
True,Ifrit,none,9836
True,Ixion,Immortal Flames,1398
True,Ixion,Maelstrom,1435
True,Ixion,Order of the Twin Adder,1693
True,Ixion,none,10398
True,Kujata,Immortal Flames,1318
True,Kujata,Maelstrom,1353
True,Kujata,Order of the Twin Adder,1597
True,Kujata,none,9803
True,Mandragora,Immortal Flames,1190
True,Mandragora,Maelstrom,1222
True,Mandragora,Order of the Twin Adder,1441
True,Mandragora,none,8849
True,Masamune,Immortal Flames,1377
True,Masamune,Maelstrom,1414
True,Masamune,Order of the Twin Adder,1668
True,Masamune,none,10241
True,Pandaemonium,Immortal Flames,1344
True,Pandaemonium,Maelstrom,1380
True,Pandaemonium,Order of the Twin Adder,1628
True,Pandaemonium,none,9998
True,Ramuh,Immortal Flames,1187
True,Ramuh,Maelstrom,1219
True,Ramuh,Order of the Twin Adder,1438
True,Ramuh,none,8828
True,Ridill,Immortal Flames,1319
True,Ridill,Maelstrom,1354
True,Ridill,Order of the Twin Adder,1598
True,Ridill,none,9811
True,Shinryu,Immortal Flames,1256
True,Shinryu,Maelstrom,1289
True,Shinryu,Order of the Twin Adder,1521
True,Shinryu,none,9341
True,Tiamat,Immortal Flames,1301
True,Tiamat,Maelstrom,1336
True,Tiamat,Order of the Twin Adder,1576
True,Tiamat,none,9676
True,Titan,Immortal Flames,1444
True,Titan,Maelstrom,1482
True,Titan,Order of the Twin Adder,1749
True,Titan,none,10736
True,Tonberry,Immortal Flames,1803
True,Tonberry,Maelstrom,1851
True,Tonberry,Order of the Twin Adder,2184
True,Tonberry,none,13411
True,Typhon,Immortal Flames,1324
True,Typhon,Maelstrom,1359
