"Category","All"
"Aegis",195182
"Alexander",166138
"Anima",162398
"Asura",194982
"Atomos",216996
"Bahamut",164427
"Belias",220198
"Carbuncle",190453
"Chocobo",157642
"Durandal",179310
"Fenrir",154711
"Garuda",185695
"Gungnir",182362
"Hades",178883
"Ifrit",178618
"Ixion",165502
"Kujata",259900
"Mandragora",167588
"Masamune",186992
"Pandaemonium",197558
"Ramuh",216905
"Ridill",175119
"Shinryu",162855
"Tiamat",167179
"Titan",180816
"Tonberry",235132
"Typhon",234713
"Ultima",193002
"Unicorn",209059
"Valefor",200790
"Yojimbo",208961
"Zeromus",201532
